timestamp,x,y,z,w
1482546870926297,-0.176392,-0.207581,0.863037,0.425354
1482546870942886,-0.175903,-0.206177,0.863708,0.424805
1482546870964941,-0.175842,-0.20459,0.864136,0.424683
1482546870986011,-0.175842,-0.20343,0.864319,0.424927
1482546871002967,-0.176392,-0.203247,0.864014,0.425476
1482546871025542,-0.177063,-0.204407,0.863464,0.425781
1482546871046284,-0.177185,-0.204895,0.862976,0.426453
1482546871062302,-0.176941,-0.203674,0.86322,0.426575
1482546871085287,-0.17688,-0.202698,0.863953,0.425659
1482546871109276,-0.177368,-0.20166,0.864746,0.424255
1482546871122844,-0.177734,-0.201294,0.865234,0.42334
1482546871145517,-0.177124,-0.199402,0.865601,0.423706
1482546871167556,-0.176147,-0.196594,0.865967,0.424744
1482546871182566,-0.17627,-0.195435,0.865906,0.425293
1482546871205553,-0.177246,-0.194519,0.865479,0.426147
1482546871228132,-0.179077,-0.194031,0.864807,0.427063
1482546871242733,-0.18042,-0.193909,0.864319,0.427429
1482546871264802,-0.181763,-0.194092,0.863464,0.428589
1482546871293825,-0.182129,-0.193726,0.862732,0.429993
1482546871302775,-0.182861,-0.19458,0.862,0.430786
1482546871325378,-0.183411,-0.196777,0.861145,0.431274
1482546871348133,-0.182617,-0.198059,0.860901,0.43158
1482546871362115,-0.181335,-0.19928,0.860657,0.432007
1482546871385161,-0.179932,-0.200806,0.860352,0.432495
1482546871407319,-0.17865,-0.200989,0.860046,0.433533
1482546871422350,-0.17804,-0.200256,0.859497,0.435181
1482546871445123,-0.178223,-0.200684,0.858765,0.43634
1482546871468136,-0.179199,-0.202759,0.858154,0.436157
1482546871482243,-0.179199,-0.203674,0.858337,0.435425
1482546871505377,-0.179016,-0.202942,0.858887,0.434814
1482546871527901,-0.179077,-0.201782,0.859436,0.434265
1482546871542417,-0.179688,-0.200623,0.859985,0.43335
1482546871565520,-0.180603,-0.2005,0.861145,0.430725
1482546871587536,-0.180237,-0.200012,0.863037,0.427307
1482546871608579,-0.179626,-0.198792,0.86499,0.424255
1482546871632580,-0.179199,-0.197754,0.866577,0.421631
1482546871647577,-0.178772,-0.196411,0.867798,0.419861
1482546871670661,-0.179199,-0.195862,0.868652,0.418274
1482546871685671,-0.179932,-0.194763,0.869202,0.417297
1482546871707682,-0.180664,-0.193848,0.869507,0.416748
1482546871728748,-0.181702,-0.193542,0.869568,0.416382
1482546871745412,-0.182922,-0.193054,0.869324,0.416565
1482546871767456,-0.184082,-0.192505,0.868958,0.416992
1482546871788468,-0.184998,-0.193115,0.868347,0.417603
1482546871805462,-0.185669,-0.194641,0.867737,0.417847
1482546871828162,-0.18573,-0.19519,0.867615,0.417908
1482546871848675,-0.185974,-0.19519,0.867493,0.41803
1482546871865669,-0.186401,-0.195557,0.867004,0.41864
1482546871887691,-0.186707,-0.196899,0.866272,0.419434
1482546871908718,-0.186646,-0.198181,0.86554,0.420349
1482546871925749,-0.186279,-0.199097,0.864746,0.421692
1482546871953398,-0.185791,-0.200745,0.863708,0.423279
1482546871968410,-0.186035,-0.202576,0.862549,0.424683
1482546871985418,-0.185669,-0.204102,0.86145,0.426331
1482546872007508,-0.185486,-0.205383,0.860168,0.428345
1482546872029024,-0.185974,-0.206421,0.85907,0.42981
1482546872045648,-0.186035,-0.208435,0.858582,0.42981
1482546872067636,-0.185547,-0.212341,0.858643,0.427917
1482546872088705,-0.184326,-0.215454,0.85907,0.426147
1482546872104663,-0.183167,-0.215576,0.85968,0.425293
1482546872127743,-0.1828,-0.215698,0.859558,0.425598
1482546872149894,-0.183289,-0.215515,0.859131,0.426331
1482546872164904,-0.184875,-0.217712,0.858521,0.425842
1482546872187891,-0.186218,-0.221313,0.857971,0.4245
1482546872209935,-0.18634,-0.222778,0.858154,0.423279
1482546872225486,-0.186279,-0.221863,0.858521,0.422974
