timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482546948888950,-1,-4,-11,-12,-8,-7,-4,-1
1482546948890913,-1,1,-1,-11,-2,1,1,-1
1482546948890913,-1,-5,18,26,-3,-3,-2,-3
1482546948902984,2,4,-21,4,6,2,2,0
1482546948902984,-2,0,8,41,3,-1,0,0
1482546948911934,-2,-3,-15,-14,2,-4,-2,-2
1482546948911934,-1,5,1,-10,-2,-1,1,0
1482546948926995,-1,-5,-13,1,3,4,2,0
1482546948926995,0,0,-6,-1,-3,-5,-3,-1
1482546948927945,1,3,22,7,4,-2,-2,0
1482546948927945,-1,-1,-11,-15,-9,3,1,1
1482546948949533,-1,5,33,29,0,-4,-1,-1
1482546948949533,-4,-25,-27,-9,-5,-4,-2,0
1482546948950022,0,2,5,6,0,3,0,-2
1482546948950022,-3,-4,5,-17,-1,-2,-2,1
1482546948963213,-1,-5,-16,-12,-1,3,4,1
1482546948963213,1,4,9,-6,-7,-4,0,-1
1482546948972215,1,4,21,0,-7,-4,-2,-2
1482546948972215,0,-3,-31,8,9,1,1,-1
1482546948986230,1,-2,3,-14,-9,0,0,0
1482546948986230,-1,6,26,12,2,-3,-2,-3
1482546948988216,-1,0,5,6,0,0,-2,0
1482546948988216,0,-5,-3,-8,-2,-1,0,-1
1482546949009293,0,3,12,6,8,0,-1,-1
1482546949009293,-3,-8,-42,-15,0,1,0,-2
1482546949010266,-2,1,-8,-1,-6,-4,-2,-2
1482546949010266,2,1,3,2,6,1,-2,0
1482546949022259,2,-1,-9,6,1,-1,-2,-1
1482546949022259,1,12,25,-4,-3,1,-2,-1
1482546949031306,-3,-5,6,5,0,-1,-1,0
1482546949031306,5,8,6,-4,-4,-3,-1,-2
1482546949046836,-10,-14,-47,2,1,-2,-2,-2
1482546949046836,-1,5,20,-2,7,8,4,-1
1482546949048326,-4,-1,-22,0,-1,1,2,0
1482546949048326,-6,-9,0,-3,-2,-4,-2,0
1482546949070478,10,2,16,3,-3,-1,0,0
1482546949070478,-17,-4,-5,-2,0,-5,-3,-4
1482546949072470,-7,3,14,-5,-5,-2,-1,-1
1482546949072470,12,-1,-11,-2,-1,-1,-1,-1
1482546949082484,-1,3,3,8,4,0,0,0
1482546949082484,5,5,2,-8,-4,-1,0,1
1482546949091478,-11,-11,-8,-2,-1,1,-2,-1
1482546949091478,-8,0,6,3,3,0,1,-1
1482546949106605,5,1,-7,1,0,0,1,0
1482546949106605,2,1,27,0,-1,-2,-1,0
1482546949108566,0,1,-35,-6,-3,-3,-1,-1
1482546949108566,-3,0,6,-1,-4,-2,-1,-3
1482546949129590,-2,-8,-5,-2,3,3,1,-2
1482546949129590,5,6,6,0,-1,1,2,0
1482546949130561,8,3,12,-2,-4,-2,-2,0
1482546949130561,4,3,-2,-1,-2,-1,0,1
1482546949143135,-5,-4,-8,1,-7,-6,-3,-1
1482546949143135,-2,5,0,7,6,-2,-3,-2
1482546949157742,-5,-2,-5,-19,-1,3,1,1
1482546949157742,-5,-5,-11,-6,9,6,1,1
1482546949165852,2,3,0,2,-1,0,-1,1
1482546949165852,-1,-6,-20,3,-4,-4,-1,0
1482546949172856,15,9,3,-6,-4,-4,-2,0
1482546949172856,-26,-7,9,6,3,0,-1,-3
1482546949188840,-5,-3,-4,0,2,-1,0,-3
1482546949188840,-6,-4,-6,-5,-2,1,0,-3
1482546949190842,1,-4,2,4,-5,-1,0,-1
1482546949190842,14,7,15,0,-7,-4,-2,0
1482546949202877,2,4,-13,2,3,0,0,0
1482546949202877,-29,2,-3,-6,-9,-7,-4,0
1482546949211857,9,-10,2,1,3,-1,-1,-1
1482546949211857,0,6,3,7,5,6,2,2
1482546949225857,-8,-8,5,1,2,1,0,-5
1482546949225857,7,-7,-3,3,1,-1,0,-3
1482546949232860,-4,5,-7,-8,-4,-3,-2,0
1482546949232860,12,6,-1,-5,-8,-3,-2,1
1482546949249393,-5,0,-2,-1,2,0,-3,1
1482546949249393,-3,-6,4,7,1,0,0,2
1482546949250881,-3,-6,3,5,2,1,1,-1
1482546949250881,3,-1,-5,-9,6,2,-2,-2
1482546949271303,6,6,0,-7,-8,-1,0,0
1482546949271303,6,-1,1,-6,-2,-2,-3,-1
1482546949273248,0,-3,-5,3,-7,-3,-2,0
1482546949273248,4,10,6,16,8,1,0,-1
1482546949294281,-10,-3,-4,-20,-3,0,1,-1
1482546949294281,8,-5,-4,0,6,5,2,0
1482546949295292,4,2,0,11,4,1,0,0
1482546949295292,-4,-1,0,-7,-10,-7,-2,-3
1482546949309331,-6,-11,1,10,2,0,-2,-3
1482546949309331,-5,3,-8,-7,-8,-3,-3,-5
1482546949310304,-18,-14,9,-3,2,2,0,-4
1482546949310304,-1,7,6,2,-4,-5,-4,-6
1482546949331343,8,-11,-26,1,2,0,3,-1
1482546949331343,3,1,-5,-5,-2,0,0,0
1482546949333290,3,4,1,3,1,-1,0,1
1482546949333290,-2,-1,4,1,-2,0,-2,0
1482546949346317,2,5,7,3,1,-2,-2,1
1482546949346317,6,3,-2,-6,-1,-2,-1,0
1482546949359934,-1,1,0,1,-2,-5,-2,0
1482546949359934,-5,-3,-6,0,-1,2,2,-1
1482546949368939,5,3,12,1,3,2,1,1
1482546949368939,-1,-13,-26,1,-1,-1,-1,0
1482546949370939,-2,-1,15,-3,0,-4,-3,-4
1482546949370939,-4,-10,-20,-8,-5,-3,1,3
1482546949391993,11,3,-2,2,-1,-2,-4,-3
1482546949391993,9,8,15,1,1,2,4,4
1482546949392940,-32,12,7,5,1,2,-1,-1
1482546949392940,-1,-30,-45,-7,-4,-5,-2,-8
1482546949406005,32,-4,39,2,-3,-1,-2,13
1482546949406005,-32,-21,-32,-8,-5,-4,-6,-25
1482546949412981,17,16,-6,-3,1,1,2,0
1482546949412981,-10,3,5,2,0,-1,-1,1
1482546949429024,0,3,5,2,1,-1,1,-5
1482546949429024,17,-4,9,0,0,0,-1,3
1482546949430994,2,0,-4,3,2,2,2,3
1482546949430994,13,10,-8,5,-1,1,3,1
1482546949451061,-19,-26,-32,-9,-5,-6,-6,-6
1482546949451061,3,28,59,-1,-3,-2,-9,7
1482546949453123,-15,-14,-13,-1,1,-1,6,-4
1482546949453123,13,-2,30,2,0,1,0,4
1482546949466153,10,37,-6,7,0,0,1,-4
1482546949466153,5,-22,-38,-3,-7,-8,-12,1
1482546949473131,-12,1,3,-6,0,-4,-29,-18
1482546949473131,-9,-17,-7,0,-5,3,17,-2
1482546949489157,5,-5,12,2,6,3,1,-14
1482546949489157,15,17,15,-1,-4,-3,47,63
1482546949490158,-12,7,-3,1,-3,-4,7,-6
1482546949490158,8,-15,11,4,-2,-4,-19,-8
1482546949511196,-15,0,14,-3,-2,1,12,-3
1482546949511196,10,3,-6,-1,2,0,-50,-36
1482546949513159,26,-20,-11,0,-1,-1,17,20
1482546949513159,-14,19,2,-3,2,4,43,29
1482546949525207,-16,17,8,-1,-2,-2,-20,-8
1482546949525207,-17,-9,2,-4,3,2,14,-7
1482546949534173,-3,-2,2,-3,-4,-4,-36,-53
1482546949534173,3,6,8,-1,-1,-1,34,40
1482546949549277,-5,-8,-12,-1,-3,-3,8,5
1482546949549277,-5,8,-15,2,-1,-1,5,-3
1482546949550737,34,0,9,4,3,-6,-93,2
1482546949550737,-6,9,86,-2,3,16,75,44
1482546949571470,-2,-8,-24,-2,0,-2,-25,-1
1482546949571470,-25,3,-12,0,1,-2,-46,-40
1482546949573471,5,5,13,3,-2,4,71,34
1482546949573471,-6,-4,-5,-3,-1,-9,-47,-25
1482546949585520,-7,-14,-3,9,2,-1,8,19
1482546949585520,13,9,21,-10,-5,5,70,-2
1482546949594463,11,19,-8,1,6,2,-85,-28
1482546949594463,-28,-18,-27,-16,-12,-11,-30,-58
1482546949609522,-11,-11,-18,2,5,6,101,35
1482546949609522,12,7,67,45,18,2,-10,-5
1482546949610479,0,8,49,-29,-15,-1,4,-6
1482546949610479,-3,-36,-103,-71,-26,-12,-26,-16
1482546949631553,-4,-14,15,6,-2,-3,-54,-23
1482546949631553,5,8,0,8,12,0,2,16
1482546949633513,-3,-8,15,7,4,1,34,15
1482546949633513,3,6,27,43,6,-2,-35,-15
1482546949645582,1,11,7,-14,4,0,15,7
1482546949645582,-6,-17,-99,-1,-9,-3,-10,4
1482546949654251,-8,-11,-10,-39,-8,-1,31,11
1482546949654251,7,7,-6,9,1,-3,-33,-13
1482546949670271,0,3,2,3,-5,-1,-4,-9
1482546949670271,5,16,60,24,9,3,13,-19
1482546949672264,-8,-38,-98,-3,-3,-2,30,38
1482546949672264,7,11,22,8,3,1,-5,-9
1482546949691295,2,21,-3,2,-1,-4,-5,4
1482546949691295,-4,-8,4,-20,-6,4,23,32
1482546949693289,20,4,6,7,-2,1,9,23
1482546949693289,-13,13,12,9,5,3,42,22
1482546949705299,0,-1,9,8,-1,-1,-9,-9
1482546949705299,-3,-17,-13,-30,-8,-3,-9,-6
1482546949714292,-7,8,6,6,-2,-5,-13,-15
1482546949714292,11,11,46,28,14,4,5,9
1482546949729342,5,-4,-32,27,8,3,-10,-15
1482546949729342,0,20,7,-44,-18,0,3,8
1482546949730326,-12,-20,-39,13,1,-5,-13,-17
1482546949730326,10,6,30,-5,2,4,-16,-13
1482546949751355,-4,2,-48,-45,-18,-3,13,6
1482546949751355,1,-6,-34,-7,5,1,-19,2
1482546949753463,-4,1,16,15,9,1,21,-2
1482546949753463,1,0,-33,7,-6,-7,-11,-8
1482546949765485,4,5,71,12,1,-1,-13,1
1482546949765485,-1,-15,-49,12,-1,-2,-1,2
1482546949774478,-1,17,28,-9,-4,-1,6,-1
1482546949774478,3,10,52,33,7,2,3,2
1482546949788501,-6,-18,-16,-27,-8,-4,-16,-10
1482546949788501,0,-9,-32,-12,-4,-5,-20,-1
1482546949796494,-13,-3,-11,13,4,7,37,8
1482546949796494,2,21,55,4,0,1,-27,0
1482546949811518,3,-5,-35,1,-3,0,38,16
1482546949811518,-4,-2,21,-3,-2,-2,15,-3
1482546949813514,30,1,-11,7,0,1,12,10
1482546949813514,-25,-14,-13,-8,-2,-2,4,-2
1482546949825530,-4,1,-13,-11,-6,-3,-10,-2
1482546949825530,-2,11,101,5,-1,-4,-15,-10
1482546949834530,-4,-12,-21,-1,-2,-3,-8,-9
1482546949834530,5,1,-27,-13,-6,0,-1,-5
1482546949849560,-1,-1,17,1,-5,-8,-20,-13
1482546949849560,4,7,-9,8,12,8,0,3
1482546949851063,-6,-2,19,22,0,5,-9,-6
1482546949851063,2,-12,-58,-39,2,-1,-1,2
1482546949871704,1,14,44,61,20,5,-7,-1
1482546949871704,-5,-22,-100,-88,-24,-7,2,0
1482546949873692,-6,3,43,-8,-4,-5,-2,-4
1482546949873692,-1,-3,-27,4,-3,-3,-3,-3
1482546949885711,9,3,11,7,4,2,1,2
1482546949885711,0,8,59,69,13,4,-2,-3
1482546949894717,-4,0,-10,-9,9,3,-8,-8
1482546949894717,-2,-12,-58,-5,-9,-11,-29,-9
