timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1482546054637656,1,1,9,8,-7,-1,-3,-4
1482546054638680,1,7,11,-3,0,-3,-14,-12
1482546054638680,0,6,16,-6,-4,-2,2,2
1482546054652696,4,1,26,24,9,-4,3,5
1482546054652696,-1,-10,-44,-34,18,16,9,1
1482546054652696,-5,1,48,14,-17,-2,-1,-4
1482546054652696,-4,-2,26,5,-7,-7,-6,-4
1482546054675683,1,-1,-27,-3,1,4,0,-5
1482546054675683,2,2,16,11,-4,-8,1,2
1482546054676684,1,1,-25,-19,1,3,1,0
1482546054676684,-3,1,1,7,-4,-5,-5,-3
1482546054698284,1,3,26,10,2,3,2,0
1482546054698284,-2,-2,3,22,3,-1,1,1
1482546054699234,7,2,-28,-19,13,6,2,1
1482546054699234,-6,-2,13,6,-3,-5,-4,-1
1482546054711975,-2,3,-17,8,5,-1,0,-2
1482546054711975,-2,-7,4,4,-6,-3,0,-1
1482546054712949,-2,2,-5,-9,-5,1,-1,-5
1482546054712949,-1,-5,4,-5,-3,-6,-4,-3
1482546054735057,-1,2,-6,4,10,2,7,1
1482546054735057,0,-8,-1,-1,-7,-2,-1,0
1482546054736003,-2,7,27,15,6,2,-1,-1
1482546054736003,5,7,-9,-15,-8,1,2,1
1482546054758075,-4,0,2,6,8,-1,-2,-1
1482546054758075,1,2,-4,7,-6,-2,2,-1
1482546054759047,1,4,2,-6,-7,-6,-4,-2
1482546054759047,-1,-2,-3,0,6,-2,1,1
1482546054772085,-3,-3,-8,-9,-11,-1,-5,-6
1482546054772085,1,4,24,10,4,-7,-3,0
1482546054773037,-1,-5,-20,-8,6,11,5,1
1482546054773037,-1,3,11,-8,-8,2,-1,-2
1482546054796162,-2,-3,5,8,4,-1,-1,2
1482546054796162,-1,-2,0,-19,-9,-2,1,-1
1482546054797123,0,-1,-11,0,-3,-7,-4,-2
1482546054797123,-1,-2,-6,6,3,0,0,-2
1482546054825259,1,1,-17,1,6,3,-1,0
1482546054825259,-6,-7,2,4,-2,-3,-2,0
1482546054826247,0,-7,-19,7,-8,-6,-3,-1
1482546054826247,-2,4,25,-9,-1,-1,0,-2
1482546054832317,1,2,1,-4,-4,-3,-2,-2
1482546054832317,3,5,1,3,6,6,5,3
1482546054833314,-3,-16,-22,0,5,0,-1,-1
1482546054833314,0,0,22,5,-2,0,-3,-1
1482546054855388,-2,-8,-9,1,-2,-2,0,-1
1482546054855388,-1,8,18,1,1,3,0,0
1482546054856360,1,7,3,-6,-3,-3,-1,-3
1482546054856360,-3,-2,-3,-5,2,-1,-1,1
1482546054878378,3,-7,-33,9,9,5,0,1
1482546054878378,-6,-15,-53,-33,-9,1,0,-3
1482546054878378,1,14,24,2,-1,-2,-2,-1
1482546054878378,0,-2,4,-6,-1,-2,-2,0
1482546054891383,-3,1,28,16,4,-1,-2,-3
1482546054891383,0,-1,2,5,-6,-4,-2,0
1482546054899978,-4,-1,-13,-23,-4,1,2,1
1482546054899978,0,-3,-12,-7,2,2,0,0
1482546054915537,1,4,17,-2,-7,2,-1,0
1482546054915537,1,0,-1,4,-3,-4,-3,-2
1482546054916525,-4,-6,-1,-6,-2,0,-3,-1
1482546054916525,6,0,-5,2,2,-3,-2,-1
1482546054937592,-5,-3,1,-4,1,2,2,1
1482546054937592,-1,3,8,6,4,-1,0,-1
1482546054938566,-1,-3,20,7,0,6,2,2
1482546054938566,-2,0,-41,0,-4,-8,-1,-2
